,video_ids,nsfw_scores
485,mle-dEOfr6A,0.0038
486,0OGN0ZBzNWM,0.0472
487,U-PHdAt8Zq8,0.0061
488,W29oJzQtnC8,0.0054
489,6jhqKuYEDzg,0.0008
490,4ASM44qvE80,0.0013
491,7PYTGfpjEmk,0.0363
492,VEVLHtzFle4,0.0173
493,jlJ1WeWI8PU,0.0017
494,x7qRrBroAao,0.0007
495,5O9adtq3_ZI,0.0015
496,-FBwZtuJtMw,0.0039
497,I5Evh8ri0_0,0.0035
498,NQYdMRdRY40,0.054
499,0UNY2uluj5k,0.0502
500,HBTr4SDqztk,0.0024
501,5uT4s_NWBN0,0.0038
502,Xehb9Fz267Y,0.0002
503,wcp1BfPUeOc,0.0041
504,OrD8ecGdm_c,0.0221
505,6mDPOuythv4,0.008
506,7j1lMs7fcIQ,0.0001
507,XSCXrIsp5Q8,0.0293
508,O2secyMBWSk,0.0039
509,-FmwUjBAdN0,0.0298
510,4tkpvdECaVg,0.0093
511,Fk_psHw6eZk,0.0252
512,E15aqzQN9zo,0.0
513,5g5j6_hUOSY,0.0059
514,0qSfPFlRwLQ,0.0594
515,VbPdjKlla5c,0.0007
516,md8R7kBoyOs,0.0058
517,l_RtpWGa8LY,0.0198
518,8j7K9gx9tAY,0.0022
519,BFwAIJeYwvg,0.0007
520,zMpprTBefdg,0.0055
521,FTnsY1MK5lg,0.007
522,FExS3lFEwqc,0.0001
523,-_I4hECDZ_E,0.0055
524,UIRSSM2ZPf8,0.0059
525,JZ6vFGldyq4,0.0006
526,4sg3UYW_AlI,0.066
527,3sMXR_TdTfs,0.0423
528,Aa4OJalU0t0,0.0117
529,ZkBOdhOdMb8,0.0029
530,2tn8hj4MhD8,0.0164
531,KA3KDbU5dqk,0.0034
532,4PnFuEbzxos,0.3178
533,6GeZdZ4LR5c,0.0198
534,aPq9-m1YHj4,0.0025
535,lM_hi8NrgXA,0.0017
536,Tl8CaZVMQzw,0.0234
537,_u-7rWKnVVo,0.0027
538,3FobttuoPwQ,0.0077
539,XGfSUHILLi8,0.0424
540,arn-hjCJe5E,0.0011
541,sFv3r9dkuTs,0.0007
542,hX0n_Mg1uBQ,0.0043
543,jzUi2iIVY4k,0.0262
544,sniWDkW-Fwc,0.0214
545,H4eP1TTedYc,0.1299
546,NJ_sGE1DUQE,0.0395
547,SwYv1vrJ_J4,0.001
548,Oie--p6YqJo,0.0224
