,video_id,label_1,label_2,label_3
616,5vCPSCTvzCQ,,,
617,5uvA7kss6us,,,
618,QA4qE4zFl-Q,person,,
619,Hv-sbtCAz9Y,,,
620,PjsuqH2azIU,bicycle,aeroplane,
621,-vHNJ_QacGo,bicycle,person,
622,vsQYI5Ajwp4,,,
623,Athe_fFxSTI,stop sign,truck,train
624,2_rHzLTBQ64,bicycle,bus,
625,jDdYFhzVCDM,car,aeroplane,
626,N4HxatJR6vI,motorbike,person,
627,BIjZk_i63Xw,car,bicycle,
628,oCouS7rN0ug,car,,
629,uvNZHnSIZKY,person,,
630,SJN903kCJrc,,,
631,i6DaUHROjTg,aeroplane,,
632,u78R_F_GBUU,bicycle,,
633,O9wG5jGP32M,,,
634,kT7QqQ8DTNI,motorbike,train,
635,TxIFhCuq59Y,,,
636,IKhvMqAN3ak,motorbike,truck,
637,6fBqGUaJ0tc,bicycle,,
638,kDV6q4pSMn8,car,motorbike,
639,_6divRapsPU,person,,
640,c2g_2q5WyDs,motorbike,,
641,MO7IZBahhZE,motorbike,,
642,jPhJbKBuNnA,bicycle,,
643,TGrRZuHs3LA,person,,
644,gy6t3J0IBkM,person,truck,
645,CLzUtMiq1N4,,,
646,GPmtG9TPNpg,boat,person,
647,ju45riNZfog,,,
648,Jp-Ud-gcmsw,bicycle,,
649,DGd917ByNmA,person,,
650,qYZphgX0YBs,,,
651,sRhw-0H92N4,car,,
652,22tvGw05LfY,person,car,
653,ubZlTCB2Ow8,truck,bus,car
654,fbuAJqV4d8I,,,
655,EZnPbrCp0bo,car,bicycle,
656,z5WrgDzNIZ0,person,,
657,s4NByTUIBbY,bicycle,motorbike,bus
658,WwegHIytnaw,aeroplane,car,boat
659,CRThXlGoWqM,motorbike,,
660,_d_0hA3uQr8,bicycle,,
661,8pGy-8s0QoU,person,aeroplane,train
662,PYcXcz92_WI,,,
663,YD1dNpelSpg,car,,
664,p7uyIG868YU,car,motorbike,
665,O8rfLiLHZek,aeroplane,car,
666,VQojqjCKyU8,motorbike,,
667,A10gB46C8bE,,,
668,I2QwlKXu_Yo,person,motorbike,
669,eqStJPp-EfM,car,,
670,qnD1S-NhA8Q,person,,
671,ZWkXhB06sEE,bus,motorbike,
672,8w1BHjOv7VM,motorbike,,
673,LMxFb-Eglp0,bicycle,,
674,BTY2h9HZRTs,person,,
675,LMdo2bxg-r8,bicycle,fire hydrant,
676,-MHmEhxSums,,,
677,Cg_TkQkfJEA,car,,
678,3qaQvd6n154,person,,
679,oGSBfE3VUns,person,,
680,bqszoG7edts,bicycle,truck,bus
681,mP2FmbhU_-k,,,
682,dcuNq3Bw9Xs,bicycle,traffic light,aeroplane
683,8i_wZQoqbwU,bicycle,,
684,5a3GB-ZUygE,,,
685,bLSxgNSWaNs,person,,
686,Vg2uDG60T9k,aeroplane,person,
687,R9UsmrVEWYY,person,,
688,1oqDtVbCCkM,person,aeroplane,
689,nXno_ktOU_k,person,,
690,HPtMjCQqLkM,,,
691,9Ji5U2sTlLU,person,bicycle,
692,pw-7v6VYhQc,person,,
693,bX_IbBVZir0,person,,
694,HHorIrYZHsA,aeroplane,boat,train
695,NZlClr_ivb4,bicycle,,
696,gAs9HZC9c7Y,bicycle,aeroplane,
697,lW_-zpKU-cU,,,
698,pVyJ7D3dnys,,,
699,MOt5GWrSU84,car,motorbike,
700,_HHV7x4gkYU,train,bicycle,
701,MwLW6c_dYLU,,,
702,WCQ4TEP2eO4,car,person,
703,yPnGZBpvjN0,bicycle,,
704,st8-EY71K84,person,,
705,yz7Cn3pHibo,bus,person,
706,Kf0fuuSQcHc,bicycle,,
707,Kt4jKSTHNUE,person,,
708,e8cOZ2BOtM8,bicycle,,
709,GH8AotRnVWU,,,
710,-UZ2EGcgAMY,bicycle,,
