,video_id,label_1,label_2,label_3
359,R0Fuci4YrdY,bib,gasmask,red-backed_sandpiper
360,i8nqsIIFp2o,scoreboard,mixing_bowl,pop_bottle
361,5sACMTVqyvE,Dungeness_crab,fire_engine,military_uniform
362,CD-E-LDc384,groenendael,cinema,fire_screen
363,75d_29QWELk,nipple,Labrador_retriever,bib
364,gQx-1XKxUDs,tow_truck,trailer_truck,ping-pong_ball
365,RqiNKk-o_Bg,ping-pong_ball,nipple,jeep
366,yuGD4AvlbcM,military_uniform,fire_engine,ping-pong_ball
367,tj1ZLeBz4J4,ping-pong_ball,backpack,military_uniform
368,g9BMcIxrkF4,ping-pong_ball,dingo,Labrador_retriever
369,OhMrElwQvqc,dingo,military_uniform,buckle
370,3nQaUal-LD0,ping-pong_ball,dingo,pill_bottle
371,a9JxLJlHqPg,backpack,necklace,military_uniform
372,5aXrDnJxQYk,ping-pong_ball,military_uniform,backpack
373,09jofQX17WM,nipple,military_uniform,necklace
374,uWohkaIb-Ss,ping-pong_ball,tow_truck,projectile
375,iO6S8XMT0QQ,nipple,ping-pong_ball,backpack
376,w_ejnHxTWrU,yurt,acorn,bulletproof_vest
377,hX7xcxpxHhU,military_uniform,ping-pong_ball,dingo
378,BTDdT4whpRQ,nipple,Dutch_oven,cinema
379,W6JTMowQEjM,ping-pong_ball,golf_ball,military_uniform
380,dVeZbaerhu8,safety_pin,ping-pong_ball,mixing_bowl
381,U60Z2w46itg,ping-pong_ball,pop_bottle,bottlecap
382,4D_OwIyiTYU,abacus,scoreboard,pajama
383,VEE2pqB8Tx8,magnetic_compass,backpack,ping-pong_ball
384,PWK0DAoRKSI,military_uniform,ping-pong_ball,snowmobile
385,gfCRxrSeBN4,ping-pong_ball,military_uniform,Dutch_oven
386,3PnOS94d6v0,ping-pong_ball,military_uniform,jeep
387,Q_fkEbTXz-o,ping-pong_ball,military_uniform,snowmobile
388,j6mKL0ccOIA,ping-pong_ball,dingo,backpack
389,XFr0dk6Ca7o,ping-pong_ball,necklace,mixing_bowl
390,rFT67I-siYA,ping-pong_ball,military_uniform,fire_engine
391,wyRvJQUahsI,dingo,jeep,ping-pong_ball
392,V0O7fk8u3mk,ping-pong_ball,cinema,Labrador_retriever
393,Qek_UPifJhs,military_uniform,pop_bottle,red-backed_sandpiper
394,1sbbWXjAro8,nipple,fire_screen,pop_bottle
395,nQ1mmVG-G1g,cinema,fire_screen,yurt
396,3WQq2y1qIfE,nipple,groenendael,fire_screen
397,LmwPop3Pulg,Dungeness_crab,military_uniform,ping-pong_ball
398,giFKH2sWGlM,military_uniform,rifle,forklift
399,s60KsSIoops,nipple,cinema,Dutch_oven
400,txXgkYIalDY,ping-pong_ball,backpack,military_uniform
401,Z5vOneSK8po,ping-pong_ball,web_site,safety_pin
402,WnaDkex0xm0,ping-pong_ball,magnetic_compass,pill_bottle
403,vc_OvvStfZ0,tow_truck,ping-pong_ball,jeep
404,_8xhdL8BPvU,fire_engine,military_uniform,Dungeness_crab
405,YzgMePQvSdc,ping-pong_ball,golf_ball,safety_pin
406,CD5mewet-fE,Dungeness_crab,ping-pong_ball,soup_bowl
407,iDZzGooj3DA,ping-pong_ball,military_uniform,necklace
408,wZZ6WJnCF_4,fire_screen,groenendael,cinema
409,iogeqIpfZ-c,ping-pong_ball,dingo,Dungeness_crab
410,X8-qnUyJSlc,nipple,Dutch_oven,cinema
411,tlfKx2drOFg,ping-pong_ball,bib,pencil_box
412,kG9MM_7Wtvg,pop_bottle,ping-pong_ball,screw
413,iQEaYnG25_U,bib,keeshond,military_uniform
414,8SAlKoRcicM,military_uniform,Dungeness_crab,fire_engine
415,5gqByAvf9PQ,military_uniform,necklace,ping-pong_ball
416,4N16y9bVqes,ping-pong_ball,military_uniform,pop_bottle
417,AYy3UyD7C1M,military_uniform,ping-pong_ball,necklace
418,02PiYzdGDDY,nipple,Labrador_retriever,German_shepherd
419,4mwztZ9Rn50,pajama,ping-pong_ball,military_uniform
420,VAAJOkdb5Fg,nipple,pop_bottle,military_uniform
421,BYv66FmUgzU,ping-pong_ball,tow_truck,dingo
422,SO1R0mKCx0E,military_uniform,Dutch_oven,forklift
423,raWRkz9SqtM,ping-pong_ball,backpack,dingo
424,H0UEde0T1xs,necklace,ping-pong_ball,lens_cap
425,-folFCGyuQQ,fire_engine,jeep,Dungeness_crab
426,K-L3QGv0pzM,ping-pong_ball,dingo,Labrador_retriever
427,wSUItoLwbSo,military_uniform,jeep,ping-pong_ball
428,hBVvEFHwpLY,safety_pin,ping-pong_ball,mixing_bowl
429,eK2cuu59WLk,handkerchief,wallet,wood_rabbit
